Log_Interval,10000,  uSec,,,,,,,,
Start,2023-07-26, 00:01:44,,,,,,,,
rec no,Acc x, Acc y, Acc z, Gyr x, Gyr y, Gyr z,Bat Cur.,Bat Volt,,
0,-9.98,0.14,0.15,0.02,0.01,0.01,89,112,,
1,-9.96,0.14,0.15,0.01,0.01,0.01,103,26,,
2,-9.98,0.12,0.19,0.01,0.01,0.01,138,27,,00:01:40.586 -> Log time: 616.65 Seconds
3,-9.97,0.15,0.14,0.02,0.01,0.01,116,12,,00:01:40.632 -> File size: 2220452 bytes
4,-9.97,0.14,0.17,0.02,0,0.01,141,25,,00:01:40.632 -> totalOverrun: 0
5,-9.97,0.14,0.16,0.02,0.01,0.01,119,10,,00:01:40.632 -> FIFO_DIM: 227
6,-9.99,0.14,0.13,0.01,0.01,0.01,148,23,,00:01:40.632 -> maxFifoUse: 2
7,-9.99,0.14,0.16,0.02,0.01,0.01,119,10,,00:01:40.632 -> maxLogMicros: 4026
8,-9.97,0.15,0.15,0.02,0.01,0.01,141,25,,00:01:40.632 -> maxWriteMicros: 314
9,-9.97,0.14,0.13,0.02,0,0.01,126,10,,00:01:40.632 -> Log interval: 10000 micros
10,-9.99,0.15,0.17,0.02,0.01,0.01,148,24,,00:01:40.632 -> maxDelta: 1 micros
11,-9.98,0.14,0.18,0.02,0.01,0.01,124,11,,00:01:42.120 -> Writing: Voi_V5_data00.csv - type any character to stop
12,-9.97,0.13,0.17,0.02,0.01,0.01,144,26,,
13,-9.98,0.11,0.17,0.02,0.01,0.01,116,10,,
14,-9.99,0.14,0.01,0.02,0.01,0.01,141,25,,
15,-9.97,0.13,0.16,0.02,0.01,0.01,126,11,,
16,-9.98,0.15,0.17,0.02,0.01,0.01,142,24,,
17,-9.97,0.11,0,0.02,0,0.01,127,9,,
18,-9.97,0.15,0.16,0.02,0.01,0.01,141,23,,
19,-9.99,0.12,0.16,0.02,0.01,0.01,122,9,,
20,-9.96,0.14,0.01,0.02,0.01,0.01,140,25,,
21,-9.99,0.12,0.18,0.02,0.01,0.01,126,11,,
22,-9.98,0.12,0.16,0.02,0.01,0.01,140,23,,
23,-9.97,0.13,0.17,0.01,0.01,0.01,121,11,,
24,-9.99,0.13,0.16,0.02,0.01,0,140,24,,
25,-9.99,0.16,0.17,0.01,0.01,0.01,123,8,,
26,-9.97,0.13,0.19,0.02,0.01,0.01,143,24,,
27,-9.98,0.15,0.13,0.02,0.01,0.01,119,11,,
28,-9.97,0.14,0.12,0.02,0.01,0.01,141,23,,
29,-9.99,0.14,0.15,0.02,0.01,0.01,127,10,,
30,-9.97,0.15,0.15,0.02,0.01,0.01,136,25,,
31,-9.98,0.12,0.16,0.02,0.01,0.01,122,10,,
32,-9.99,0.14,0.2,0.02,0.01,0.01,139,23,,
33,-9.97,0.13,0.16,0.02,0.01,0.01,127,8,,
34,-9.98,0.13,0.17,0.02,0.01,0.01,138,22,,
35,-9.98,0.14,0.14,0.02,0.01,0.01,121,9,,
36,-9.96,0.13,0.15,0.02,0.01,0.01,137,22,,
37,-9.98,0.12,0.15,0.02,0.01,0.01,125,10,,
38,-9.97,0.13,0.2,0.02,0.01,0.01,136,21,,
39,-10,0.14,0.16,0.02,0.01,0.01,130,10,,
40,-9.99,0.14,0.16,0.02,0.01,0.01,142,21,,
41,-9.97,0.14,0.2,0.02,0.01,0,121,7,,
42,-9.99,0.15,0.16,0.02,0.01,0.01,136,20,,
43,-9.97,0.13,0.15,0.02,0.01,0.01,130,8,,
44,-9.97,0.15,0.15,0.02,0.01,0.01,140,22,,
45,-9.98,0.15,0.17,0.02,0.01,0.01,124,9,,
46,-9.99,0.13,0.16,0.02,0.01,0.01,137,23,,
47,-9.81,0.12,0.15,0.01,0.01,0.01,124,7,,
48,-9.99,0.15,0.16,0.02,0.01,0,133,21,,
49,-9.98,0.14,0.18,0.02,0.01,0.01,131,7,,
50,-9.97,0.13,0.21,0.02,0.01,0.01,134,19,,
51,-9.97,0.14,0.15,0.01,0.01,0.01,124,6,,
52,-9.97,0.12,0.01,0.02,0.01,0.01,136,19,,
53,-10,0.13,0.14,0.02,0.01,0.01,131,7,,
54,-10,0.14,0.15,0.02,0.01,0.01,132,19,,
55,-9.99,0.13,0.09,0.01,0.01,0,130,8,,
56,-9.97,0.14,0.18,0.01,0,0.01,134,17,,
57,-9.96,0.13,0.14,0.02,0.01,0.01,130,8,,
58,-9.97,0.13,0.07,0.02,0.01,0.01,136,18,,
59,-9.98,0.14,0.18,0.02,0,0.01,129,8,,
60,-9.98,0.14,0.15,0.02,0,0.01,131,18,,
61,-9.99,0.13,0.11,0.01,0.01,0.01,133,10,,
62,-9.99,0.14,0.15,0.01,0.01,0.01,137,17,,
63,-9.98,0.14,0.16,0.02,0.01,0.01,131,9,,
64,-9.98,0.13,0.18,0.02,0.01,0,135,16,,
65,-9.98,0.13,0.17,0.02,0.01,0.01,131,9,,
66,-9.99,0.14,0.17,0.01,0.01,0.01,137,16,,
67,-9.98,0.14,0.22,0.02,0.01,0,128,9,,
68,-9.99,0.14,0.18,0.02,0.01,0.01,128,16,,
69,-9.99,0.12,0.16,0.01,0,0.01,131,8,,
70,-9.99,0.14,0.17,0.01,0.01,0.01,132,15,,
71,-9.99,0.12,0.15,0.02,0.01,0.01,134,8,,
72,-9.98,0.13,0.13,0.02,0.01,0.01,128,15,,
73,-9.82,0.12,0.17,0.02,0,0.01,134,8,,
74,-9.98,0.14,0.17,0.02,0.01,0.01,134,14,,
75,-9.96,0.12,0.16,0.02,0.01,0.01,134,10,,
76,-10,0.15,0.2,0.02,0.01,0.01,128,15,,
77,-9.99,0.13,0.18,0.02,0.01,0.01,135,9,,
78,-9.99,0.15,0.01,0.02,0.01,0.01,127,14,,
79,-9.84,0.12,0.17,0.02,0,0.01,138,12,,
80,-9.99,0.14,0.16,0.01,0.01,0.01,131,15,,
81,-9.98,0.14,0.28,0.01,0.01,0.01,133,10,,
82,-10,0.15,0.15,0.02,0.01,0.01,126,15,,
83,-9.97,0.15,0.15,0.02,0.01,0.01,137,13,,
84,-9.98,0.15,0.17,0.02,0,0,126,15,,
85,-9.99,0.12,0.15,0.02,0,0.01,132,11,,
86,-10.02,0.14,0.14,0.02,0.01,0.01,124,14,,
87,-9.99,0.14,0.16,0.02,0.01,0.01,134,12,,
88,-9.97,0.14,0.16,0.02,0.01,0.01,125,13,,
89,-9.99,0.14,0.17,0.02,0.01,0.01,133,14,,
90,-9.96,0.15,0.14,0.01,0.01,0.01,126,13,,
91,-9.95,0.14,0.15,0.01,0.01,0.01,138,14,,
92,-10.03,0.15,0.15,0.02,0,0.01,126,14,,
93,-9.99,0.13,0.11,0.02,0.01,0.01,139,16,,
94,-9.99,0.15,0.14,0.02,0.01,0.01,126,14,,
95,-9.96,0.15,0.15,0.01,0.01,0.01,143,14,,
96,-9.97,0.3,0.18,0.02,0.01,0.01,127,13,,
97,-9.99,0.12,0.15,0.02,0.01,0.01,144,16,,
98,-9.96,0.13,0.16,0.01,0.01,0.01,124,12,,
99,-9.97,0.12,0.16,0.02,0.01,0.01,139,16,,
100,-10,0.13,0.16,0.02,0.01,0.01,121,12,,
101,-9.97,0.13,0.17,0.02,0.01,0.01,145,17,,
102,-9.96,0.16,0.18,0.02,0.01,0.01,126,14,,
103,-9.97,0.14,0.17,0.02,0.01,0.01,145,18,,
104,-9.98,0.14,0.17,0.02,0.01,0.01,123,13,,
105,-10,0.13,0.22,0.01,0.01,0.01,143,20,,
106,-9.98,0.13,0.17,0.02,0.01,0.01,123,12,,
107,-9.96,0.13,0.15,0.02,0.01,0.01,138,19,,
108,-9.97,0.13,0.15,0.02,0.01,0.01,122,12,,
109,-9.98,0.15,0.16,0.02,0.01,0.01,146,21,,
110,-9.98,0.13,0.17,0.02,0.01,0.01,128,12,,
111,-10.02,0.14,0.18,0.02,0.01,0.01,146,20,,
112,-9.97,0.14,0.16,0.01,0.01,0.01,123,12,,
113,-9.98,0.12,0.16,0.01,0.01,0.01,147,23,,
114,-9.98,0.14,0.18,0.02,0.01,0.01,128,12,,
115,-9.98,0.14,0.14,0.02,0.01,0.01,140,21,,
116,-9.98,0.14,0.15,0.02,0.01,0.01,121,12,,
117,-9.98,0.12,0.15,0.02,0.01,0.01,141,20,,
118,-9.97,0.15,0.15,0.02,0.01,0.01,124,10,,
119,-9.99,0.14,0.19,0.02,0.01,0.01,142,23,,
120,-9.97,0.14,0.17,0.02,0.01,0.01,126,12,,
121,-9.97,0.13,0.17,0.02,0,0.01,141,22,,
122,-9.99,0.01,0.17,0.02,0.01,0.01,118,13,,
123,-9.99,0.16,0.16,0.02,0.01,0,147,24,,
124,-9.99,0.14,0.16,0.01,0.01,0.01,118,12,,
125,-9.97,0.15,0.11,0.01,0.01,0.01,144,23,,
126,-9.97,0.15,0.18,0.02,0.01,0.01,124,12,,
127,-9.96,0.14,0.15,0.02,0.01,0.01,147,24,,
128,-9.98,0.14,0.22,0.01,0.01,0,122,12,,
129,-9.97,0.14,0.16,0.02,0.01,0.01,145,24,,
130,-9.99,0.14,0.16,0.02,0.01,0.01,122,11,,
131,-9.97,0.14,0.18,0.01,0,0.01,147,27,,
132,-9.97,0.13,0.16,0.02,0.01,0.01,122,9,,
133,-10,0.13,0.17,0.02,0.01,0.01,149,25,,
134,-9.98,0.14,0.23,0.02,0.01,0.01,121,10,,
135,-9.97,0.14,0.16,0.02,0.01,0.01,143,24,,
136,-9.98,0.14,0.15,0.02,0.01,0,127,10,,
137,-9.97,0.13,0.19,0.02,0.01,0.01,147,25,,
138,-10,0.15,0.19,0.02,0.01,0.01,126,11,,
139,-10,0.13,0.15,0.02,0.01,0.01,141,26,,
140,-10,0.14,0.21,0.02,0.01,0.01,120,11,,
141,-9.98,0.15,0.17,0.02,0.01,0.01,139,25,,
142,-9.99,0.15,0.15,0.01,0.01,0.01,121,9,,
143,-9.99,0.15,0.15,0.02,0.01,0.01,141,27,,
144,-10,0.14,0.18,0.02,0.01,0.01,119,10,,
145,-9.98,0.13,0.16,0.02,0.01,0.01,139,24,,
146,-9.85,0.14,0.16,0.02,0.01,0.01,118,9,,
147,-9.98,0.13,0.17,0.01,0.01,0,146,24,,
148,-9.96,0.13,0.3,0.02,0.01,0.01,120,14,,
149,-9.97,0.15,0.18,0.02,0.01,0.01,138,24,,
150,-9.97,0.15,0.14,0.02,0.01,0.01,121,10,,
151,-9.99,0.12,0.29,0.02,0.01,0.01,144,22,,
152,-9.97,0.15,0.14,0.02,0.01,0.01,120,9,,
153,-10,0.13,0.15,0.02,0.01,0.01,143,23,,
154,-9.99,0.14,0.28,0.02,0.01,0.01,121,10,,
